#
#num reg  count-read  count-written
#
  3 rdi                   60473       29656
  4 rsi                   43697       25882
  5 rbp                   41561       15728
  6 rsp                  150808       90734
  7 rbx                   76580       30442
  8 rdx                   68471       31657
  9 rcx                   68259       39261
 10 rax                  129579       74293
 11 r8                    14689       10365
 12 r9                    15955       11543
 13 r10                   12119        6978
 14 r11                    9087        4970
 15 r12                   25074       11674
 16 r13                   20190       10048
 17 r14                   24982        7390
 18 r15                   18099        8873

# Per-Basic-Block Register Usage:
## Basic Block at 0x00007fe089107090
  3 rdi                       0           1
  6 rsp                       2           1
## Basic Block at 0x00007fe089107ea0
  3 rdi                       1           0
  5 rbp                       1           1
  6 rsp                       8           7
  7 rbx                       1           0
  8 rdx                       5           3
 10 rax                       3           1
 15 r12                       1           1
 16 r13                       1           0
 17 r14                       3           2
 18 r15                       1           0
## Basic Block at 0x00007fe089107ef5
  3 rdi                       2           2
  4 rsi                       0           1
  9 rcx                       1           1
 12 r9                        1           2
## Basic Block at 0x00007fe089107f5b
 10 rax                       1           0
## Basic Block at 0x00007fe089107f61
## Basic Block at 0x00007fe089107f6d
## Basic Block at 0x00007fe089107f4b
  4 rsi                      13           0
  8 rdx                      39          13
 10 rax                      39          13
## Basic Block at 0x00007fe089107f5b
 10 rax                      13           0
## Basic Block at 0x00007fe089107f61
  9 rcx                       4           4
 10 rax                       2           0
 11 r8                        2           0
## Basic Block at 0x00007fe089107f6d
 10 rax                       2           0
## Basic Block at 0x00007fe089107f7b
## Basic Block at 0x00007fe089107f90
## Basic Block at 0x00007fe089108290
  9 rcx                       2           2
 10 rax                       1           0
 14 r11                       1           0
## Basic Block at 0x00007fe0891082a0
## Basic Block at 0x00007fe089108320
  7 rbx                       1           0
  9 rcx                       2           2
 10 rax                       1           0
## Basic Block at 0x00007fe089108330
  8 rdx                       1           0
 10 rax                       2           1
 12 r9                        1           0
## Basic Block at 0x00007fe089107f4f
  8 rdx                       2           1
 10 rax                       2           1
## Basic Block at 0x00007fe089107f5b
 10 rax                       1           0
## Basic Block at 0x00007fe089107f61
## Basic Block at 0x00007fe089107f40
  4 rsi                       4           0
  8 rdx                      12           4
  9 rcx                       8           4
 10 rax                      16           8
## Basic Block at 0x00007fe089107f5b
 10 rax                       3           0
## Basic Block at 0x00007fe089107f61
  9 rcx                       6           6
 10 rax                       3           0
 11 r8                        3           0
## Basic Block at 0x00007fe089107f90
 17 r14                       2           0
## Basic Block at 0x00007fe089107f99
 10 rax                       2           1
## Basic Block at 0x00007fe089107fa5
 10 rax                       3           1
 17 r14                       1           0
## Basic Block at 0x00007fe089107fb5
 10 rax                       3           1
 17 r14                       1           0
## Basic Block at 0x00007fe089107fc5
 10 rax                       3           1
 17 r14                       1           0
## Basic Block at 0x00007fe089107fd5
 10 rax                       3           1
 17 r14                       1           0
## Basic Block at 0x00007fe089107fe5
 10 rax                       3           1
 17 r14                       1           0
## Basic Block at 0x00007fe089107ff5
 10 rax                       3           1
 17 r14                       1           0
## Basic Block at 0x00007fe089108005
 10 rax                       3           1
 17 r14                       1           0
## Basic Block at 0x00007fe089108015
  8 rdx                       2           1
 10 rax                       1           0
 17 r14                       1           0
## Basic Block at 0x00007fe089108025
  8 rdx                       1           0
## Basic Block at 0x00007fe089108030
 10 rax                       2           1
## Basic Block at 0x00007fe08910803c
  9 rcx                       1           1
## Basic Block at 0x00007fe08910804e
  9 rcx                       2           1
## Basic Block at 0x00007fe08910805a
## Basic Block at 0x00007fe089108068
  9 rcx                       2           1
## Basic Block at 0x00007fe089108074
## Basic Block at 0x00007fe089108082
## Basic Block at 0x00007fe089108082
## Basic Block at 0x00007fe089108090
## Basic Block at 0x00007fe08910809e
 17 r14                       2           0
## Basic Block at 0x00007fe089108160
 10 rax                       2           0
## Basic Block at 0x00007fe089108169
  3 rdi                       3           1
  4 rsi                       0           1
  9 rcx                       1           1
 10 rax                       2           2
 11 r8                        2           1
 16 r13                       0           1
## Basic Block at 0x00007fe08910818e
  3 rdi                       1           0
  8 rdx                       2           0
 11 r8                        4           2
 16 r13                       0           1
## Basic Block at 0x00007fe08910819f
  3 rdi                       1           1
  4 rsi                       2           2
  8 rdx                       5           3
  9 rcx                       2           1
 10 rax                       1           0
 11 r8                        3           3
 12 r9                        2           2
 16 r13                       1           0
## Basic Block at 0x00007fe0891081dc
  9 rcx                       1           2
 10 rax                       3           0
 17 r14                       1           0
## Basic Block at 0x00007fe0891081f0
  8 rdx                       2           2
  9 rcx                       1           0
 10 rax                       3           1
 16 r13                       1           0
 17 r14                       1           0
## Basic Block at 0x00007fe0891081e0
  9 rcx                      38          76
 10 rax                      76           0
 17 r14                      38           0
## Basic Block at 0x00007fe0891081f0
  8 rdx                      76          76
  9 rcx                      38           0
 10 rax                     114          38
 16 r13                      38           0
 17 r14                      38           0
## Basic Block at 0x00007fe089108203
## Basic Block at 0x00007fe089108211
  4 rsi                       1           0
 11 r8                        0           1
 12 r9                        0           1
 16 r13                       1           0
## Basic Block at 0x00007fe089108228
  3 rdi                       1           0
  7 rbx                       0           1
  8 rdx                       4           3
  9 rcx                       1           2
 10 rax                       4           1
 16 r13                       2           0
 17 r14                       1           0
 18 r15                       0           1
## Basic Block at 0x00007fe089108252
 18 r15                       2           0
## Basic Block at 0x00007fe089108259
 10 rax                       1           2
 18 r15                       2           0
## Basic Block at 0x00007fe089108275
  7 rbx                       1           0
  8 rdx                       1           1
## Basic Block at 0x00007fe08910827f
  8 rdx                       3           2
 11 r8                        2           0
## Basic Block at 0x00007fe0891082e0
  9 rcx                       9           0
 10 rax                      18           9
 16 r13                       9           0
## Basic Block at 0x00007fe0891082c8
  4 rsi                       9           0
 16 r13                      18           9
## Basic Block at 0x00007fe0891082d5
## Basic Block at 0x00007fe089108230
  3 rdi                       8           0
  7 rbx                       0           8
  8 rdx                      32          24
  9 rcx                       8          16
 10 rax                      16           8
 16 r13                      16           0
 17 r14                       8           0
 18 r15                       0           8
## Basic Block at 0x00007fe089108252
 18 r15                      16           0
## Basic Block at 0x00007fe089108259
 10 rax                       8          16
 18 r15                      16           0
## Basic Block at 0x00007fe089108275
  7 rbx                       8           0
  8 rdx                       8           8
## Basic Block at 0x00007fe08910827f
  8 rdx                      24          16
 11 r8                       16           0
## Basic Block at 0x00007fe0891080b5
  3 rdi                       0           1
  6 rsp                       1           1
## Basic Block at 0x00007fe089112100
  3 rdi                       3           0
 10 rax                       6           3
## Basic Block at 0x00007fe08911210c
  3 rdi                       3           0
  9 rcx                       9           3
 10 rax                       6           0
## Basic Block at 0x00007fe089112127
  3 rdi                      15           0
  4 rsi                       3           0
  6 rsp                       3           3
  8 rdx                       6           3
  9 rcx                       6           0
 10 rax                      12           6
 11 r8                        6           3
## Basic Block at 0x00007fe0891080c8
  3 rdi                       0           1
  4 rsi                       0           1
  5 rbp                       1           0
  6 rsp                       1           1
  8 rdx                       3           2
 10 rax                       5           4
 15 r12                       1           0
## Basic Block at 0x00007fe089120a60
  3 rdi                       8           2
  4 rsi                       1           0
  5 rbp                       1           0
  6 rsp                       7           7
  7 rbx                       1           0
 10 rax                       1           3
 15 r12                       1           0
 16 r13                       1           1
 17 r14                       1           0
 18 r15                       1           0
## Basic Block at 0x00007fe089120aa3
 10 rax                       2           1
## Basic Block at 0x00007fe089120aad
## Basic Block at 0x00007fe089120aa3
 10 rax                      52          26
## Basic Block at 0x00007fe089120aad
  4 rsi                       1           1
  6 rsp                       1           0
  8 rdx                       1           1
 10 rax                       4           1
## Basic Block at 0x00007fe089120adc
  6 rsp                      12           0
  7 rbx                       4           4
  9 rcx                       0           1
 10 rax                       4           1
 18 r15                       0           1
## Basic Block at 0x00007fe089120b7a
  9 rcx                       2           0
 10 rax                       3           2
## Basic Block at 0x00007fe089120c48
  6 rsp                       2           0
  8 rdx                       3           1
 10 rax                       3           2
## Basic Block at 0x00007fe089120c66
