"game","parameters","complexity","nblocks","nDataReads","nDataWrites","ninsts","nmethod"
"FifteenPuzzle","shuffles=10#size=10","1238","9494","0","0","207512","234"
"FifteenPuzzle","shuffles=10#size=11","1431","11239","0","0","247576","234"
"FifteenPuzzle","shuffles=10#size=12","1644","13154","0","0","291474","234"
"FifteenPuzzle","shuffles=10#size=13","1875","15239","0","0","339206","234"
"FifteenPuzzle","shuffles=10#size=14","2124","17494","0","0","390772","234"
"FifteenPuzzle","shuffles=10#size=15","2392","19919","0","0","446172","234"
"FifteenPuzzle","shuffles=10#size=16","2678","22514","0","0","505406","234"
"FifteenPuzzle","shuffles=10#size=17","2983","25279","0","0","568474","234"
"FifteenPuzzle","shuffles=10#size=18","3307","28214","0","0","635376","234"
"FifteenPuzzle","shuffles=10#size=19","3649","31319","0","0","706112","234"
"FifteenPuzzle","shuffles=10#size=20","4010","34594","0","0","780682","234"
"FifteenPuzzle","shuffles=11#size=7","1009","6318","0","0","140783","328"
"FifteenPuzzle","shuffles=50#size=10","165550","877506","0","0","26246305","38614"
"FifteenPuzzle","shuffles=50#size=11","91005","505856","0","0","15111142","17923"
"FifteenPuzzle","shuffles=50#size=12","40732","239290","0","0","7024156","6761"
"FifteenPuzzle","shuffles=50#size=13","46519","281333","0","0","8220757","6761"
"FifteenPuzzle","shuffles=50#size=14","52779","327082","0","0","9514968","6761"
"FifteenPuzzle","shuffles=50#size=5","2175242486","13105655197","0","0","388857785261","294598540"
"FifteenPuzzle","shuffles=50#size=6","1150749","5213697","0","0","133847245","503420"
"FifteenPuzzle","shuffles=50#size=7","338654891","1652995898","0","0","44324432821","124287378"
"FifteenPuzzle","shuffles=50#size=8","28200878","141211560","0","0","3986448922","8921102"
"FifteenPuzzle","shuffles=50#size=9","268972","1393775","0","0","40548532","72866"
"FifteenPuzzle","shuffles=51#size=10","165566","877577","0","0","26247291","38625"
"FifteenPuzzle","shuffles=51#size=11","91104","506426","0","0","15128616","17937"
"FifteenPuzzle","shuffles=51#size=12","40847","239980","0","0","7044912","6775"
"FifteenPuzzle","shuffles=51#size=13","46651","282153","0","0","8245078","6775"
"FifteenPuzzle","shuffles=51#size=14","52929","328044","0","0","9543148","6775"
"FifteenPuzzle","shuffles=51#size=5","4976369","21267828","0","0","497390256","2570826"
"FifteenPuzzle","shuffles=51#size=6","1160069","5255425","0","0","134922274","507541"
"FifteenPuzzle","shuffles=51#size=7","338707249","1653250719","0","0","44331331233","124306373"
"FifteenPuzzle","shuffles=51#size=8","22640564","113381715","0","0","3201654504","7156311"
"FifteenPuzzle","shuffles=51#size=9","268988","1393848","0","0","40549529","72877"
"FifteenPuzzle","shuffles=52#size=10","210896","1116696","0","0","33437035","49184"
"FifteenPuzzle","shuffles=52#size=11","721671","4004832","0","0","119226517","145052"
"FifteenPuzzle","shuffles=52#size=12","41650","242920","0","0","7172324","6962"
"FifteenPuzzle","shuffles=52#size=13","47564","285851","0","0","8395184","6962"
"FifteenPuzzle","shuffles=52#size=14","53961","332588","0","0","9717914","6962"
"FifteenPuzzle","shuffles=52#size=5","4976476","21268277","0","0","497400035","2570886"
"FifteenPuzzle","shuffles=52#size=6","884867","3998938","0","0","102807981","387654"
"FifteenPuzzle","shuffles=52#size=7","483343196","2358548103","0","0","63353852571","176943160"
"FifteenPuzzle","shuffles=52#size=8","3011243021","12809506656","0","0","301085058863","1555096803"
"FifteenPuzzle","shuffles=52#size=9","473947","2452649","0","0","71482921","128232"
"FifteenPuzzle","shuffles=53#size=10","229885","1216874","0","0","36449156","53605"
"FifteenPuzzle","shuffles=53#size=11","966535","5339723","0","0","159618118","194569"
"FifteenPuzzle","shuffles=53#size=12","67153","387435","0","0","11521648","11431"
"FifteenPuzzle","shuffles=53#size=13","76666","456326","0","0","13488638","11431"
"FifteenPuzzle","shuffles=53#size=14","86957","531359","0","0","15616454","11431"
"FifteenPuzzle","shuffles=53#size=5","8413745","35818224","0","0","840033570","4351067"
"FifteenPuzzle","shuffles=53#size=6","3008883","13598372","0","0","350678018","1312889"
"FifteenPuzzle","shuffles=53#size=7","353440648","1723316879","0","0","46309009517","129475071"
"FifteenPuzzle","shuffles=53#size=8","17546364","87876550","0","0","2481708760","5544005"
"FifteenPuzzle","shuffles=53#size=9","650402","3364220","0","0","98162725","175655"
"FifteenPuzzle","shuffles=54#size=10","229901","1216945","0","0","36450142","53616"
"FifteenPuzzle","shuffles=54#size=11","966632","5340293","0","0","159635592","194582"
"FifteenPuzzle","shuffles=54#size=12","67170","387542","0","0","11522832","11442"
"FifteenPuzzle","shuffles=54#size=13","76684","456463","0","0","13489987","11442"
"FifteenPuzzle","shuffles=54#size=14","86976","531530","0","0","15617990","11442"
"FifteenPuzzle","shuffles=54#size=5","8413981","35819223","0","0","840056408","4351192"
"FifteenPuzzle","shuffles=54#size=6","3008899","13598436","0","0","350678951","1312900"
"FifteenPuzzle","shuffles=54#size=7","459709329","2241306245","0","0","60226869654","168432410"
"FifteenPuzzle","shuffles=54#size=8","17548024","87885205","0","0","2481967500","5544414"
"FifteenPuzzle","shuffles=54#size=9","650418","3364293","0","0","98163722","175666"
"FifteenPuzzle","shuffles=55#size=10","248978","1317659","0","0","39481709","58031"
"FifteenPuzzle","shuffles=55#size=11","1854508","10200884","0","0","306223814","373509"
"FifteenPuzzle","shuffles=55#size=12","122138","698990","0","0","20878845","21161"
"FifteenPuzzle","shuffles=55#size=13","139393","823971","0","0","24446805","21160"
"FifteenPuzzle","shuffles=55#size=14","158061","960154","0","0","28306819","21160"
"FifteenPuzzle","shuffles=55#size=5","12296198","52250362","0","0","1226344615","6365193"
"FifteenPuzzle","shuffles=55#size=6","4060543","18340063","0","0","472865663","1773609"
"FifteenPuzzle","shuffles=55#size=7","944392564","4602668934","0","0","123702142908","346128379"
"FifteenPuzzle","shuffles=55#size=8","24166140","121012939","0","0","3416700113","7641856"
"FifteenPuzzle","shuffles=55#size=9","1411603","7296446","0","0","213162724","380678"
"FifteenPuzzle","shuffles=56#size=10","248993","1317730","0","0","39482695","58042"
"FifteenPuzzle","shuffles=56#size=11","3779141","20685198","0","0","623873715","761883"
"FifteenPuzzle","shuffles=56#size=12","122251","699680","0","0","20899601","21174"
"FifteenPuzzle","shuffles=56#size=13","139524","824791","0","0","24471126","21174"
"FifteenPuzzle","shuffles=56#size=14","158210","961116","0","0","28334999","21173"
"FifteenPuzzle","shuffles=56#size=5","20741231","88075260","0","0","2067794608","10740697"
"FifteenPuzzle","shuffles=56#size=6","4740043","21405752","0","0","551861901","2071058"
"FifteenPuzzle","shuffles=56#size=7","1242470841","6054515035","0","0","162690664007","455645364"
"FifteenPuzzle","shuffles=56#size=8","24167323","121018941","0","0","3416871704","7642209"
"FifteenPuzzle","shuffles=56#size=9","1411675","7296849","0","0","213174705","380692"
"FifteenPuzzle","shuffles=57#size=10","289076","1529364","0","0","45855235","67305"
"FifteenPuzzle","shuffles=57#size=11","1628305","8938188","0","0","268788030","328358"
"FifteenPuzzle","shuffles=57#size=12","258420","1472263","0","0","44200683","44651"
"FifteenPuzzle","shuffles=57#size=13","294968","1735464","0","0","51757903","44650"
"FifteenPuzzle","shuffles=57#size=14","334508","2022235","0","0","59933525","44650"
"FifteenPuzzle","shuffles=57#size=5","187606610","797016225","0","0","18702680304","97154306"
"FifteenPuzzle","shuffles=57#size=6","4827530","21798695","0","0","562004237","2109493"
"FifteenPuzzle","shuffles=57#size=7","1345846857","6557422885","0","0","176216180883","493607539"
"FifteenPuzzle","shuffles=57#size=8","51369406","257040238","0","0","7246201826","16324394"
"FifteenPuzzle","shuffles=57#size=9","3398424","17564151","0","0","513399534","915455"
"FifteenPuzzle","shuffles=58#size=10","289092","1529435","0","0","45856221","67316"
"FifteenPuzzle","shuffles=58#size=11","2249197","12310797","0","0","371150948","454189"
"FifteenPuzzle","shuffles=58#size=12","258437","1472370","0","0","44201867","44662"
"FifteenPuzzle","shuffles=58#size=13","294986","1735601","0","0","51759252","44661"
"FifteenPuzzle","shuffles=58#size=14","334527","2022406","0","0","59935061","44661"
"FifteenPuzzle","shuffles=58#size=5","187617590","797062670","0","0","18703777268","97159981"
"FifteenPuzzle","shuffles=58#size=6","5011177","22625348","0","0","583319066","2190054"
"FifteenPuzzle","shuffles=58#size=7","1479440872","7207301555","0","0","193695646890","542665116"
"FifteenPuzzle","shuffles=58#size=8","57807203","289037722","0","0","8134950895","18463909"
"FifteenPuzzle","shuffles=58#size=9","3398495","17564555","0","0","513411535","915468"
"FifteenPuzzle","shuffles=59#size=10","289638","1532339","0","0","45943417","67441"
"FifteenPuzzle","shuffles=59#size=11","4270220","23325515","0","0","705005378","860582"
"FifteenPuzzle","shuffles=59#size=12","321541","1829901","0","0","54954813","55761"
"FifteenPuzzle","shuffles=59#size=13","366987","2157402","0","0","64351958","55760"
"FifteenPuzzle","shuffles=59#size=14","416156","2514265","0","0","74518263","55761"
"FifteenPuzzle","shuffles=59#size=5","211947283","900271113","0","0","21126628375","109771970"
"FifteenPuzzle","shuffles=59#size=6","11263492","50887604","0","0","1310114249","4927349"
"FifteenPuzzle","shuffles=59#size=7","1547651769","7538842180","0","0","202624281288","567694205"
"FifteenPuzzle","shuffles=59#size=8","57824945","289126162","0","0","8137426058","18469680"
"FifteenPuzzle","shuffles=59#size=9","3776794","19519089","0","0","570609584","1017139"
"FifteenPuzzle","shuffles=6#size=14","1395","12369","0","0","259322","141"
"FifteenPuzzle","shuffles=60#size=10","289971","1534093","0","0","45995063","67524"
"FifteenPuzzle","shuffles=60#size=11","5311436","28980109","0","0","876610083","1071862"
"FifteenPuzzle","shuffles=60#size=12","356380","2027314","0","0","60885883","61916"
"FifteenPuzzle","shuffles=60#size=13","406736","2390345","0","0","71297818","61916"
"FifteenPuzzle","shuffles=60#size=14","461213","2785942","0","0","82562085","61916"
"FifteenPuzzle","shuffles=60#size=5","561014681","2383072902","0","0","55897734900","290674879"
"FifteenPuzzle","shuffles=60#size=6","11182937","50717917","0","0","1301628582","4887834"
"FifteenPuzzle","shuffles=60#size=8","1648107865","8035990978","0","0","216411749627","601469577"
"FifteenPuzzle","shuffles=60#size=9","10558056","54568936","0","0","1594367837","2847170"
"FifteenPuzzle","shuffles=61#size=10","297928","1576127","0","0","47260922","69359"
"FifteenPuzzle","shuffles=61#size=11","18714043","102119557","0","0","3090916283","3765357"
"FifteenPuzzle","shuffles=61#size=12","1239830","7039424","0","0","211629275","216321"
"FifteenPuzzle","shuffles=61#size=13","1414899","8301251","0","0","247828063","216321"
"FifteenPuzzle","shuffles=61#size=14","1604302","9676372","0","0","286990665","216321"
"FifteenPuzzle","shuffles=61#size=8","34026664","170058491","0","0","4780214982","10907975"
"FifteenPuzzle","shuffles=61#size=9","10557955","54568384","0","0","1594350690","2847151"
"FifteenPuzzle","shuffles=62#size=10","298885","1581186","0","0","47413087","69580"
"FifteenPuzzle","shuffles=62#size=11","27145561","148170508","0","0","4484644413","5456348"
"FifteenPuzzle","shuffles=62#size=12","1316778","7475352","0","0","224756104","229784"
"FifteenPuzzle","shuffles=62#size=13","1502709","8815429","0","0","263200717","229784"
"FifteenPuzzle","shuffles=62#size=14","1703863","10275836","0","0","304793078","229784"
"FifteenPuzzle","shuffles=62#size=8","60377754","301723249","0","0","8480737194","19362124"
"FifteenPuzzle","shuffles=62#size=9","3538282","18285693","0","0","534438428","953562"
"FifteenPuzzle","shuffles=63#size=10","299479","1584326","0","0","47507439","69717"
"FifteenPuzzle","shuffles=63#size=11","30699391","167499625","0","0","5071403737","6172417"
"FifteenPuzzle","shuffles=63#size=12","1365604","7751964","0","0","233082801","238339"
"FifteenPuzzle","shuffles=63#size=13","1558425","9141711","0","0","272951999","238339"
"FifteenPuzzle","shuffles=63#size=14","1767033","10656256","0","0","316085631","238339"
"FifteenPuzzle","shuffles=63#size=8","75658697","378084122","0","0","10627837071","24258987"
"FifteenPuzzle","shuffles=63#size=9","6875341","35533838","0","0","1038823096","1851251"
"FifteenPuzzle","shuffles=64#size=10","308393","1631410","0","0","48925260","71774"
"FifteenPuzzle","shuffles=64#size=11","30703793","167523670","0","0","5072139197","6173262"
"FifteenPuzzle","shuffles=64#size=12","1365621","7752071","0","0","233083985","238350"
"FifteenPuzzle","shuffles=64#size=13","1558442","9141848","0","0","272953348","238350"
"FifteenPuzzle","shuffles=64#size=14","1767051","10656427","0","0","316087167","238350"
"FifteenPuzzle","shuffles=64#size=8","75675943","378170280","0","0","10630251983","24264554"
"FifteenPuzzle","shuffles=64#size=9","6875383","35534071","0","0","1038829529","1851262"
"FifteenPuzzle","shuffles=65#size=10","309515","1637300","0","0","49100471","72049"
"FifteenPuzzle","shuffles=65#size=11","44419719","242105947","0","0","7334196253","8949137"
"FifteenPuzzle","shuffles=65#size=12","1788386","10147175","0","0","305123900","312707"
"FifteenPuzzle","shuffles=65#size=13","2040818","11967442","0","0","357318858","312707"
"FifteenPuzzle","shuffles=65#size=14","2313922","13951275","0","0","413788106","312707"
"FifteenPuzzle","shuffles=65#size=8","130933730","654484547","0","0","18408989585","41901811"
"FifteenPuzzle","shuffles=65#size=9","8311387","42947732","0","0","1255439058","2239671"
"FifteenPuzzle","shuffles=66#size=10","310084","1640279","0","0","49188538","72192"
"FifteenPuzzle","shuffles=66#size=11","60068476","327141150","0","0","9913061314","12125656"
"FifteenPuzzle","shuffles=66#size=12","2338460","13263421","0","0","398945129","409030"
"FifteenPuzzle","shuffles=66#size=13","2668524","15643188","0","0","467191962","409030"
"FifteenPuzzle","shuffles=66#size=14","3025618","18236841","0","0","541027815","409030"
"FifteenPuzzle","shuffles=66#size=8","231157248","1155739767","0","0","32525135145","73855014"
"FifteenPuzzle","shuffles=66#size=9","8864966","45805438","0","0","1338930086","2389460"
"FifteenPuzzle","shuffles=67#size=10","310099","1640348","0","0","49189484","72203"
"FifteenPuzzle","shuffles=67#size=11","78341283","426374739","0","0","12921100258","15850599"
"FifteenPuzzle","shuffles=67#size=12","1017033","5771013","0","0","173571433","177585"
